a8-27.grenoble.iot-lab.info,05df
a8-110.grenoble.iot-lab.info,05df
a8-140.grenoble.iot-lab.info,05df
a8-223.grenoble.iot-lab.info,05df
m3-65.grenoble.iot-lab.info,8778
m3-73.grenoble.iot-lab.info,8771
m3-82.grenoble.iot-lab.info,8767
m3-91.grenoble.iot-lab.info,1662
m3-113.grenoble.iot-lab.info,a671
m3-133.grenoble.iot-lab.info,2360
m3-138.grenoble.iot-lab.info,b169
m3-140.grenoble.iot-lab.info,b483
m3-148.grenoble.iot-lab.info,9976
m3-150.grenoble.iot-lab.info,b676
m3-179.grenoble.iot-lab.info,a776
m3-191.grenoble.iot-lab.info,8872
m3-291.grenoble.iot-lab.info,9975
m3-342.grenoble.iot-lab.info,b079
m3-351.grenoble.iot-lab.info,9781
m3-362.grenoble.iot-lab.info,a976
m3-381.grenoble.iot-lab.info,05df
a8-1.rocquencourt.iot-lab.info,unknown
a8-6.rocquencourt.iot-lab.info,unknown
a8-10.rocquencourt.iot-lab.info,unknown
a8-39.rocquencourt.iot-lab.info,unknown
a8-44.rocquencourt.iot-lab.info,unknown
a8-48.rocquencourt.iot-lab.info,unknown
a8-49.rocquencourt.iot-lab.info,unknown
a8-67.rocquencourt.iot-lab.info,unknown
a8-91.rocquencourt.iot-lab.info,unknown
a8-116.rocquencourt.iot-lab.info,unknown
a8-121.rocquencourt.iot-lab.info,unknown
a8-130.rocquencourt.iot-lab.info,unknown
a8-148.rocquencourt.iot-lab.info,unknown
m3-12.rocquencourt.iot-lab.info,unknown
m3-15.rocquencourt.iot-lab.info,unknown
